t;k;z;done;failed
0;0;0;0;0
0.9156158053673119;1;1;0;0
1.456591149860884;0;0;1;0
1.6481984105378524;1;1;1;0
2.1439497082852603;1;1;1;1
4.004892571977317;0;0;2;1
4.8372562087963935;1;1;2;1
5.219789889943443;1;1;2;2
5.798179706277897;1;1;2;3
5.914280078953917;1;1;2;4
6.8382314377315225;0;0;3;4
6.982342873587782;1;1;3;4
7.315906984217217;1;1;3;5
8.562801122699405;0;0;4;5
8.936559730528375;1;1;4;5
11.079129853034662;1;1;4;6
11.679712991775931;1;1;4;7
11.943892252312983;1;1;4;8
13.557972905530775;0;0;5;8
13.896453330051715;1;1;5;8
14.800452637055471;0;0;6;8
14.92269957282516;1;1;6;8
16.94278796266;0;0;7;8
17.07114673137264;1;1;7;8
21.613575048401025;0;0;8;8
21.658639522691377;1;1;8;8
22.42078163385341;0;0;9;8
23.460599483650086;1;1;9;8
23.949400073205098;1;1;9;9
24.31019087827615;1;1;9;10
24.781077683305554;0;0;10;10
24.848147329790095;1;1;10;10
25.46167352453225;0;0;11;10
25.653113912732778;1;1;11;10
25.94084497717438;1;1;11;11
26.181499875856055;1;1;11;12
26.78315060415756;0;0;12;12
27.213263889666102;1;1;12;12
27.53965143098513;0;0;13;12
27.653988855351024;1;1;13;12
28.16676794197944;0;0;14;12
28.171219155228204;1;1;14;12
29.40691153945691;1;1;14;13
30.45545510955405;0;0;15;13
31.459153120089052;1;1;15;13
31.548858874171408;1;1;15;14
32.19603958460944;0;0;16;14
33.659215624935335;1;1;16;14
34.23744961767577;0;0;17;14
35.4774662350572;1;1;17;14
36.504473443120496;0;0;18;14
36.59820124826215;1;1;18;14
36.921224719351784;0;0;19;14
37.10325421121708;1;1;19;14
37.47211773049115;1;1;19;15
38.64963245672303;0;0;20;15
38.904597009889216;1;1;20;15
39.295926484103035;0;0;21;15
40.42248291807379;1;1;21;15
41.874540762487925;1;1;21;16
42.65972548397484;0;0;22;16
42.79581115640446;1;1;22;16
43.71227819548517;0;0;23;16
44.02879273937039;1;1;23;16
44.77399544044188;1;1;23;17
44.82594936173323;1;1;23;18
45.28788498298373;1;1;23;19
46.14037433407556;0;0;24;19
46.18200462046572;1;1;24;19
46.33162563379324;1;1;24;20
46.66391750859389;0;0;25;20
47.68158446492367;1;1;25;20
48.596374449584765;1;1;25;21
50.17828380234772;1;1;25;22
50.242817501193706;1;1;25;23
50.425449629543714;0;0;26;23
50.44162733130098;1;1;26;23
50.72300910047008;1;1;26;24
51.51180889593566;0;0;27;24
52.22921360774818;1;1;27;24
52.62634985096346;1;1;27;25
52.82602871903119;1;1;27;26
54.89195630450948;0;0;28;26
55.00411797556933;1;1;28;26
55.14007735746741;1;1;28;27
55.535745758113194;1;1;28;28
55.96263351218416;1;1;28;29
55.99315994971207;0;0;29;29
56.34838328334793;1;1;29;29
58.252896883549596;0;0;30;29
59.79849923350389;1;1;30;29
60.07133154898106;1;1;30;30
60.482254092382526;1;1;30;31
61.1089063747617;1;1;30;32
62.4228527309792;1;1;30;33
62.50055656942347;1;1;30;34
62.77363077027973;0;0;31;34
63.05866472559652;1;1;31;34
63.329682579745025;1;1;31;35
63.83411243760296;1;1;31;36
64.01288584550156;1;1;31;37
64.0133413389089;0;0;32;37
64.05060005974512;1;1;32;37
66.29487531915102;0;0;33;37
66.36571426559432;1;1;33;37
66.4606483587207;1;1;33;38
66.67650663683241;1;1;33;39
66.7325514842514;1;1;33;40
66.90950091573359;0;0;34;40
67.3391059204908;1;1;34;40
67.72626616169396;0;0;35;40
68.52227233520519;1;1;35;40
69.49783835582234;1;1;35;41
70.2450903745986;0;0;36;41
70.31174754059646;1;1;36;41
71.90406622299774;1;1;36;42
72.27102466592545;0;0;37;42
73.009245930016;1;1;37;42
73.74535305278413;0;0;38;42
73.79238935463506;1;1;38;42
75.59080472787565;0;0;39;42
75.63540806718939;1;1;39;42
75.88807974600071;0;0;40;42
76.04437607313443;1;1;40;42
77.30339568596762;0;0;41;42
77.6672124215232;1;1;41;42
78.00499724760824;1;1;41;43
79.32591971420452;1;1;41;44
79.40135456350103;0;0;42;44
80.10885134289808;1;1;42;44
80.44661041536796;1;1;42;45
80.59837651736832;1;1;42;46
80.66784629486777;0;0;43;46
81.09107040231038;1;1;43;46
81.29156760377651;1;1;43;47
81.31277581500397;1;1;43;48
81.67347170269315;1;1;43;49
82.24563110300731;1;1;43;50
82.4127024512152;0;0;44;50
82.44817981203151;1;1;44;50
83.24367341831497;1;1;44;51
83.35452148632878;0;0;45;51
83.7093910880897;1;1;45;51
85.83393180481266;0;0;46;51
86.15844522695886;1;1;46;51
86.7478966501847;0;0;47;51
88.47310965357521;1;1;47;51
89.57608881782797;0;0;48;51
89.71171150292885;1;1;48;51
