t;P0;P1;P2
0;1;0;0
0.01;0.969;0.031;0
0.02;0.943;0.056;0.001
0.03;0.916;0.081;0.003
0.04;0.891;0.104;0.005
0.05;0.864;0.127;0.009
0.060000000000000005;0.841;0.147;0.012
0.07;0.818;0.166;0.016
0.08;0.793;0.187;0.02
0.09;0.773;0.201;0.026
0.09999999999999999;0.752;0.216;0.032
0.10999999999999999;0.731;0.231;0.038
0.11999999999999998;0.715;0.241;0.044
0.12999999999999998;0.694;0.258;0.048
0.13999999999999999;0.675;0.27;0.055
0.15;0.657;0.281;0.062
0.16;0.637;0.297;0.066
0.17;0.618;0.31;0.072
0.18000000000000002;0.608;0.31;0.082
0.19000000000000003;0.588;0.324;0.088
0.20000000000000004;0.572;0.332;0.096
0.21000000000000005;0.56;0.333;0.107
0.22000000000000006;0.551;0.328;0.121
0.23000000000000007;0.531;0.341;0.128
0.24000000000000007;0.524;0.335;0.141
0.25000000000000006;0.511;0.343;0.146
0.26000000000000006;0.502;0.341;0.157
0.2700000000000001;0.494;0.338;0.168
0.2800000000000001;0.483;0.338;0.179
0.2900000000000001;0.468;0.347;0.185
0.3000000000000001;0.461;0.342;0.197
0.3100000000000001;0.451;0.344;0.205
0.3200000000000001;0.441;0.345;0.214
0.3300000000000001;0.428;0.351;0.221
0.34000000000000014;0.421;0.35;0.229
0.35000000000000014;0.41;0.356;0.234
0.36000000000000015;0.401;0.357;0.242
0.37000000000000016;0.391;0.358;0.251
0.38000000000000017;0.386;0.357;0.257
0.3900000000000002;0.379;0.352;0.269
0.4000000000000002;0.372;0.354;0.274
0.4100000000000002;0.364;0.348;0.288
0.4200000000000002;0.357;0.345;0.298
0.4300000000000002;0.347;0.347;0.306
0.4400000000000002;0.339;0.345;0.316
0.45000000000000023;0.33;0.347;0.323
0.46000000000000024;0.326;0.339;0.335
0.47000000000000025;0.321;0.336;0.343
0.48000000000000026;0.309;0.343;0.348
0.49000000000000027;0.307;0.333;0.36
0.5000000000000002;0.303;0.331;0.366
0.5100000000000002;0.297;0.335;0.368
0.5200000000000002;0.289;0.335;0.376
0.5300000000000002;0.279;0.338;0.383
0.5400000000000003;0.282;0.321;0.397
0.5500000000000003;0.277;0.325;0.398
0.5600000000000003;0.271;0.323;0.406
0.5700000000000003;0.267;0.318;0.415
0.5800000000000003;0.264;0.321;0.415
0.5900000000000003;0.26;0.319;0.421
0.6000000000000003;0.256;0.309;0.435
0.6100000000000003;0.248;0.308;0.444
0.6200000000000003;0.243;0.313;0.444
0.6300000000000003;0.242;0.31;0.448
0.6400000000000003;0.237;0.303;0.46
0.6500000000000004;0.229;0.307;0.464
0.6600000000000004;0.225;0.3;0.475
0.6700000000000004;0.22;0.3;0.48
0.6800000000000004;0.216;0.299;0.485
0.6900000000000004;0.211;0.298;0.491
0.7000000000000004;0.205;0.298;0.497
0.7100000000000004;0.2;0.295;0.505
0.7200000000000004;0.197;0.298;0.505
0.7300000000000004;0.198;0.294;0.508
0.7400000000000004;0.197;0.29;0.513
0.7500000000000004;0.195;0.289;0.516
0.7600000000000005;0.192;0.283;0.525
0.7700000000000005;0.19;0.283;0.527
0.7800000000000005;0.185;0.288;0.527
0.7900000000000005;0.181;0.288;0.531
0.8000000000000005;0.175;0.298;0.527
0.8100000000000005;0.172;0.302;0.526
0.8200000000000005;0.17;0.3;0.53
0.8300000000000005;0.164;0.307;0.529
0.8400000000000005;0.164;0.298;0.538
0.8500000000000005;0.163;0.296;0.541
0.8600000000000005;0.158;0.304;0.538
0.8700000000000006;0.155;0.297;0.548
0.8800000000000006;0.152;0.296;0.552
0.8900000000000006;0.148;0.296;0.556
0.9000000000000006;0.146;0.292;0.562
0.9100000000000006;0.145;0.294;0.561
0.9200000000000006;0.139;0.294;0.567
0.9300000000000006;0.138;0.293;0.569
0.9400000000000006;0.135;0.297;0.568
0.9500000000000006;0.132;0.295;0.573
0.9600000000000006;0.13;0.298;0.572
0.9700000000000006;0.13;0.293;0.577
0.9800000000000006;0.13;0.295;0.575
0.9900000000000007;0.126;0.296;0.578
1.0000000000000007;0.122;0.298;0.58
1.0100000000000007;0.12;0.298;0.582
1.0200000000000007;0.117;0.3;0.583
1.0300000000000007;0.117;0.295;0.588
1.0400000000000007;0.116;0.29;0.594
1.0500000000000007;0.115;0.278;0.607
1.0600000000000007;0.111;0.288;0.601
1.0700000000000007;0.111;0.289;0.6
1.0800000000000007;0.108;0.288;0.604
1.0900000000000007;0.106;0.289;0.605
1.1000000000000008;0.105;0.285;0.61
1.1100000000000008;0.102;0.283;0.615
1.1200000000000008;0.103;0.276;0.621
1.1300000000000008;0.103;0.27;0.627
1.1400000000000008;0.1;0.275;0.625
1.1500000000000008;0.094;0.282;0.624
1.1600000000000008;0.089;0.289;0.622
1.1700000000000008;0.086;0.292;0.622
1.1800000000000008;0.088;0.285;0.627
1.1900000000000008;0.085;0.287;0.628
1.2000000000000008;0.084;0.284;0.632
1.2100000000000009;0.084;0.279;0.637
1.2200000000000009;0.085;0.278;0.637
1.2300000000000009;0.083;0.28;0.637
1.2400000000000009;0.079;0.279;0.642
1.2500000000000009;0.079;0.276;0.645
1.260000000000001;0.078;0.275;0.647
1.270000000000001;0.074;0.273;0.653
1.280000000000001;0.074;0.268;0.658
1.290000000000001;0.075;0.263;0.662
1.300000000000001;0.075;0.264;0.661
1.310000000000001;0.073;0.264;0.663
1.320000000000001;0.072;0.265;0.663
1.330000000000001;0.07;0.26;0.67
1.340000000000001;0.068;0.263;0.669
1.350000000000001;0.068;0.257;0.675
1.360000000000001;0.069;0.256;0.675
1.370000000000001;0.067;0.258;0.675
1.380000000000001;0.067;0.252;0.681
1.390000000000001;0.066;0.246;0.688
1.400000000000001;0.064;0.247;0.689
1.410000000000001;0.063;0.245;0.692
1.420000000000001;0.062;0.247;0.691
1.430000000000001;0.059;0.251;0.69
1.440000000000001;0.056;0.25;0.694
1.450000000000001;0.057;0.244;0.699
1.460000000000001;0.058;0.237;0.705
1.470000000000001;0.054;0.245;0.701
1.480000000000001;0.054;0.256;0.69
1.490000000000001;0.052;0.254;0.694
1.500000000000001;0.05;0.258;0.692
1.5100000000000011;0.048;0.263;0.689
1.5200000000000011;0.046;0.268;0.686
1.5300000000000011;0.045;0.267;0.688
1.5400000000000011;0.044;0.263;0.693
1.5500000000000012;0.044;0.258;0.698
1.5600000000000012;0.044;0.267;0.689
1.5700000000000012;0.042;0.27;0.688
1.5800000000000012;0.042;0.269;0.689
1.5900000000000012;0.041;0.269;0.69
1.6000000000000012;0.04;0.266;0.694
1.6100000000000012;0.039;0.274;0.687
1.6200000000000012;0.039;0.272;0.689
1.6300000000000012;0.037;0.271;0.692
1.6400000000000012;0.036;0.265;0.699
1.6500000000000012;0.035;0.267;0.698
1.6600000000000013;0.031;0.27;0.699
1.6700000000000013;0.033;0.266;0.701
1.6800000000000013;0.032;0.27;0.698
1.6900000000000013;0.031;0.272;0.697
1.7000000000000013;0.031;0.271;0.698
1.7100000000000013;0.032;0.268;0.7
1.7200000000000013;0.035;0.266;0.699
1.7300000000000013;0.036;0.257;0.707
1.7400000000000013;0.035;0.255;0.71
1.7500000000000013;0.034;0.258;0.708
1.7600000000000013;0.033;0.264;0.703
1.7700000000000014;0.033;0.265;0.702
1.7800000000000014;0.031;0.265;0.704
1.7900000000000014;0.031;0.268;0.701
1.8000000000000014;0.029;0.269;0.702
1.8100000000000014;0.028;0.266;0.706
1.8200000000000014;0.027;0.267;0.706
1.8300000000000014;0.026;0.268;0.706
1.8400000000000014;0.025;0.269;0.706
1.8500000000000014;0.025;0.276;0.699
1.8600000000000014;0.024;0.285;0.691
1.8700000000000014;0.024;0.287;0.689
1.8800000000000014;0.024;0.285;0.691
1.8900000000000015;0.024;0.282;0.694
1.9000000000000015;0.025;0.284;0.691
1.9100000000000015;0.026;0.285;0.689
1.9200000000000015;0.025;0.287;0.688
1.9300000000000015;0.024;0.284;0.692
1.9400000000000015;0.021;0.283;0.696
1.9500000000000015;0.019;0.283;0.698
1.9600000000000015;0.018;0.283;0.699
1.9700000000000015;0.017;0.277;0.706
1.9800000000000015;0.016;0.275;0.709
1.9900000000000015;0.016;0.276;0.708
2.0000000000000013;0.015;0.272;0.713
2.010000000000001;0.015;0.274;0.711
